Town,Founded,Formed from,County,"Pop.
(2020)","Land
(sq mi)","Water
(sq mi)",Coordinates,"GEO ID
(FIPS code)","ANSI code
(GNIS ID)"
Adams,1802,Mexico,Jefferson,"4,973",42.270,0.153,"43.844658, -76.054289",3604500210,978655
Addison,1796,Painted Post,Steuben,"2,397",25.545,0.142,"42.132164, -77.234422",3610100287,978656
Afton,1857,Bainbridge,Chenango,"2,769",45.836,0.679,"42.226305, -75.526838",3601700353,978657
Alabama,1826,Pembroke and Shelby,Genesee,"1,602",42.370,0.406,"43.090053, -78.366480",3603700474,978658
Albion,1875,Barre,Orleans,"7,639",25.257,0.093,"43.226343, -78.209387",3607301044,978660
Albion,1825,Richland,Oswego,"2,009",47.286,0.532,"43.489292, -76.030916",3607501055,978661
Alden,1823,Clarence,Erie,"9,706",34.308,0.201,"42.907256, -78.520613",3602901099,978662
Alexander,1812,Batavia,Genesee,"2,491",35.467,0.096,"42.920586, -78.250065",3603701165,978663
Alexandria,1821,Brownville and Le Ray,Jefferson,"3,741",72.657,11.900,"44.319903, -75.878414",3604501176,978664
Alfred,1808,Angelica,Allegany,"5,157",31.476,0.149,"42.233273, -77.795084",3600301209,978665
Allegany,1831,Great Valley,Cattaraugus,"7,493",70.923,0.658,"42.091286, -78.531856",3600901297,978666
Allen,1823,Angelica,Allegany,494,36.377,0.203,"42.397400, -78.004345",3600301319,978668
Alma,1854,Willing,Allegany,781,36.215,0.301,"42.047668, -78.016224",3600301429,978669
Almond,1821,Alfred,Allegany,"1,512",45.717,0.067,"42.340932, -77.781630",3600301451,978670
Altona,1857,Chazy,Clinton,"2,666",100.983,0.357,"44.841730, -73.670487",3601901583,978672
Amboy,1830,Williamstown,Oswego,"1,245",37.049,0.692,"43.377133, -75.918438",3607501649,978673
Amenia,1788,Amenia Precinct,Dutchess,"3,769",43.220,0.396,"41.829938, -73.534020",3602701693,978674
Amherst,1818,Buffalo,Erie,"129,595",53.203,0.391,"43.011639, -78.757148",3602902000,978675
Amity,1830,Angelica and Scio,Allegany,"2,171",34.442,0.123,"42.226466, -78.003401",3600302011,978676
Amsterdam,1793,Caughnawaga,Montgomery,"5,557",29.701,0.733,"42.955568, -74.166076",3605702077,978678
Ancram,1803,Livingston,Columbia,"1,440",42.478,0.259,"42.035959, -73.580146",3602102099,978679
Andes,1819,Middletown,Delaware,"1,114",108.592,3.694,"42.128419, -74.787370",3602502132,978680
Andover,1824,Independence,Allegany,"1,615",39.430,0.066,"42.150717, -77.811105",3600302154,978681
Angelica,1805,Leicester,Allegany,"1,272",36.394,0.038,"42.304028, -78.015503",3600302187,978682
Annsville,1823,"Camden, Florence, Lee and Vienna",Oneida,"2,639",60.167,0.308,"43.345241, -75.614699",3606502253,978683
Antwerp,1810,Le Ray,Jefferson,"1,683",106.042,2.378,"44.221394, -75.601758",3604502297,978684
Arcade,1807,Sheldon,Wyoming,"4,187",47.004,0.106,"42.571352, -78.369984",3612102418,978685
Arcadia,1825,Lyons,Wayne,"13,731",52.033,0.111,"43.098080, -77.082687",3611702440,978686
Argyle,1788,Argyle township,Washington,"3,644",56.536,1.260,"43.232135, -73.478888",3611502561,978687
Arietta,1836,Lake Pleasant,Hamilton,292,317.178,12.229,"43.500184, -74.579588",3604102572,978688
Arkwright,1829,Pomfret and Villenova,Chautauqua,"1,008",35.670,0.060,"42.386656, -79.242479",3601302605,978689
Ashford,1824,Ellicottville,Cattaraugus,"1,961",51.737,0.164,"42.440413, -78.646301",3600902759,978690
Ashland,1867,"Chemung, Elmira and Southport",Chemung,"1,510",14.182,0.355,"42.019488, -76.750371",3601502781,978691
Ashland,1848,Prattsville and Windham,Greene,682,25.958,0.000,"42.321255, -74.336110",3603902803,978692
Athens,1815,Catskill and Coxsackie,Greene,"3,916",26.246,2.622,"42.276513, -73.859238",3603902913,978693
Attica,1811,Sheldon,Wyoming,"5,790",35.712,0.315,"42.820640, -78.245571",3612103012,978694
Au Sable,1839,Peru,Clinton,"3,183",39.109,4.740,"44.503615, -73.533466",3601903221,978699
Augusta,1798,Whitestown,Oneida,"2,021",27.728,0.000,"42.977116, -75.502294",3606503155,978696
Aurelius,1789,Aurelius township,Cayuga,"2,611",30.245,1.749,"42.929159, -76.668447",3601103166,978697
Aurora,1818,Willink,Erie,"13,943",36.393,0.046,"42.738748, -78.638578",3602903199,978698
Austerlitz,1818,"Canaan, Chatham and Hillsdale",Columbia,"1,625",48.722,0.092,"42.315112, -73.518416",3602103287,978700
Ava,1846,Boonville,Oneida,680,37.667,0.038,"43.414296, -75.441248",3606503309,978701
Avoca,1843,"Bath, Cohocton, Howard and Wheeler",Steuben,"1,990",36.249,0.041,"42.424318, -77.448755",3610103342,978702
Avon,1797,,Livingston,"6,939",41.203,0.055,"42.897400, -77.727378",3605103364,978703
Babylon,1872,Huntington,Suffolk,"218,223",52.319,61.861,"40.680656, -73.316175",3610304000,978704
Bainbridge,1791,,Chenango,"3,060",34.323,0.433,"42.296565, -75.476683",3601704044,978705
Baldwin,1856,Chemung,Chemung,812,25.716,0.020,"42.101825, -76.657096",3601504132,978706
Ballston,1788,Ballstown district,Saratoga,"11,831",29.576,0.462,"42.951295, -73.887168",3609104220,978707
Bangor,1812,Dickinson,Franklin,"2,231",43.118,0.000,"44.837505, -74.430139",3603304319,978708
Barker,1831,Lisle,Broome,"2,509",41.403,0.376,"42.265005, -75.911308",3600704429,978709
Barre,1818,Gaines,Orleans,"1,843",55.040,0.011,"43.179026, -78.211392",3607304572,978710
Barrington,1822,Reading and Wayne,Yates,"1,541",35.753,1.378,"42.523012, -77.052976",3612304594,978711
Barton,1824,Tioga,Tioga,"8,609",59.275,0.414,"42.079846, -76.499364",3610704671,978712
Batavia,1802,Northampton,Genesee,"6,293",48.187,0.218,"42.996988, -78.227989",3603704726,978714
Bath,1796,,Steuben,"11,424",95.319,0.559,"42.322420, -77.316574",3610104770,978715
Bedford,1788,Bedford Patent,Westchester,"17,309",37.173,2.247,"41.225704, -73.664943",3611905320,978717
Beekman,1788,Beekman Precinct,Dutchess,"14,172",29.838,0.517,"41.602869, -73.698370",3602705452,978718
Beekmantown,1820,Plattsburgh,Clinton,"5,508",60.425,9.202,"44.788193, -73.502927",3601905485,978719
Belfast,1824,Caneadea,Allegany,"1,637",36.295,0.249,"42.298023, -78.135597",3600305573,978720
Bellmont,1833,Chateaugay,Franklin,"1,327",164.141,3.019,"44.760907, -74.131480",3603305716,978721
Bennington,1818,Sheldon,Wyoming,"3,235",55.049,0.215,"42.817297, -78.387564",3612105936,978722
Benson,1860,Hope and Mayfield,Hamilton,221,82.617,0.580,"43.290245, -74.366257",3604105958,978723
Benton,1803,Jerusalem,Yates,"2,985",41.473,2.964,"42.721950, -77.049662",3612306002,978724
Bergen,1813,Murray,Genesee,"3,120",27.559,0.036,"43.096201, -77.955484",3603706057,978725
Berkshire,1808,Union,Tioga,"1,480",30.216,0.010,"42.296636, -76.165659",3610706145,978726
Berlin,1806,Petersburgh,Rensselaer,"1,808",59.603,0.319,"42.660802, -73.380018",3608306189,978727
Berne,1795,Rensselaerville,Albany,"2,689",64.030,0.704,"42.603917, -74.130358",3600106211,978728
Bethany,1812,Batavia,Genesee,"1,780",36.035,0.035,"42.919587, -78.126802",3603706266,978729
Bethel,1809,Lumberland,Sullivan,"3,959",85.265,4.693,"41.689061, -74.853955",3610506310,978730
Bethlehem,1793,Watervliet,Albany,"35,034",49.030,0.834,"42.585940, -73.827782",3600106354,978731
Big Flats,1822,Elmira,Chemung,"7,791",44.484,0.581,"42.138490, -76.913756",3601506475,978732
Binghamton,1855,Chenango,Broome,"4,617",25.251,0.088,"42.035053, -75.905551",3600706618,978734
Birdsall,1829,Almond and Allen,Allegany,190,35.889,0.171,"42.397379, -77.889195",3600306717,978735
Black Brook,1839,Peru,Clinton,"1,453",129.974,4.361,"44.524426, -73.817513",3601906761,978736
Bleecker,1831,Johnstown,Fulton,545,57.127,2.285,"43.173404, -74.381782",3603506882,978737
Blenheim,1797,Schoharie,Schoharie,308,33.933,0.461,"42.488372, -74.522581",3609506893,978738
Blooming Grove,1799,Cornwall,Orange,"18,811",34.736,0.616,"41.395660, -74.184287",3607107003,978739
Bolivar,1825,Friendship,Allegany,"2,029",35.863,0.010,"42.034778, -78.136902",3600307201,978740
Bolton,1799,Thurman,Warren,"2,012",63.270,26.771,"43.579414, -73.657631",3611307234,978741
Bombay,1833,Fort Covington,Franklin,"1,254",35.743,0.125,"44.914578, -74.586536",3603307278,978742
Boonville,1805,Leyden,Oneida,"4,518",71.878,0.698,"43.459155, -75.285070",3606507366,978743
Boston,1817,Eden,Erie,"7,948",35.820,0.000,"42.652830, -78.755463",3602907454,978744
Bovina,1820,"Delhi, Middletown and Stamford",Delaware,658,44.263,0.232,"42.273814, -74.756993",3602507597,978745
Boylston,1828,Orwell,Oswego,498,39.152,0.021,"43.657921, -75.953469",3607507674,978746
Bradford,1836,Jersey,Steuben,806,25.122,0.114,"42.330742, -77.133893",3610107740,978747
Brandon,1828,Bangor,Franklin,628,41.255,0.067,"44.735417, -74.414747",3603307839,978748
Brant,1839,Concord and Evans,Erie,"1,912",24.314,0.424,"42.594817, -79.024700",3602907894,978749
Brasher,1825,Massena,St. Lawrence,"2,627",91.103,0.967,"44.888187, -74.723707",3608907938,978750
Bridgewater,1797,Sangerfield,Oneida,"1,507",23.845,0.012,"42.904171, -75.265132",3606508180,978751
Brighton,1858,Duane,Franklin,"1,174",77.896,5.100,"44.469848, -74.247779",3603308213,978752
Brighton,1814,Smallwood,Monroe,"37,137",15.416,0.168,"43.118015, -77.582070",3605508246,978753
Bristol,1789,,Ontario,"2,284",36.694,0.015,"42.808110, -77.425596",3606908378,978754
Broadalbin,1793,Johnstown and Mayfield,Fulton,"5,145",31.722,8.059,"43.076333, -74.152367",3603508433,978755
Brookfield,1795,Paris,Madison,"2,247",77.822,0.196,"42.807991, -75.343295",3605308587,978757
Brookhaven,1788,Brookhaven Patent,Suffolk,"485,773",259.439,272.097,"40.857448, -72.959840",3610310000,978758
Broome,1797,Schoharie,Schoharie,863,47.741,0.250,"42.504012, -74.293643",3609510154,978760
Brownville,1802,Leyden,Jefferson,"5,842",59.132,7.320,"44.026880, -76.083381",3604510242,978761
Brunswick,1807,Troy,Rensselaer,"12,581",44.347,0.280,"42.749998, -73.582839",3608310275,978762
Brutus,1802,Aurelius,Cayuga,"4,314",22.106,0.394,"43.045665, -76.545611",3601110297,978763
Burke,1844,Chateaugay,Franklin,"1,421",44.405,0.000,"44.926169, -74.182069",3603311165,978765
Burlington,1792,Otsego,Otsego,"1,045",44.891,0.122,"42.717320, -75.144624",3607711209,978766
Burns,1826,Ossian,Allegany,"1,036",27.220,0.036,"42.435979, -77.781834",3600311253,978767
Busti,1823,Ellicott and Harmony,Chautauqua,"7,543",47.825,0.014,"42.051324, -79.326276",3601311451,978768
Butler,1826,Wolcott,Wayne,"1,835",37.090,0.079,"43.177119, -76.765002",3611711473,978769
Butternuts,1796,Unadilla,Otsego,"1,665",53.829,0.040,"42.469617, -75.320901",3607711528,978770
Byron,1820,Bergen,Genesee,"2,302",32.212,0.079,"43.084761, -78.066965",3603711572,978771
Cairo,1803,"Catskill, Coxsackie and Durham",Greene,"6,644",59.828,0.254,"42.298811, -74.015664",3603911649,978772
Caledonia,1803,Northampton,Livingston,"4,154",43.875,0.251,"42.952791, -77.820303",3605111715,978773
Callicoon,1842,Liberty,Sullivan,"2,989",48.591,0.355,"41.835839, -74.924132",3610511759,978774
Cambria,1808,Willink,Niagara,"5,743",39.710,0.000,"43.176589, -78.820251",3606311803,978775
Cambridge,1788,Cambridge patent,Washington,"1,952",36.357,0.127,"43.007825, -73.446055",3611511836,978776
Camden,1799,Mexico,Oneida,"4,787",54.013,0.141,"43.345094, -75.774347",3606511858,978777
Cameron,1822,Addison,Steuben,899,46.704,0.058,"42.226656, -77.421703",3610111880,978778
Camillus,1799,Marcellus,Onondaga,"25,346",34.424,0.017,"43.066596, -76.313465",3606711913,978779
Campbell,1831,Hornby,Steuben,"3,160",40.685,0.094,"42.230042, -77.166427",3610111946,978780
Canaan,1788,Kings District,Columbia,"1,570",36.676,0.280,"42.407900, -73.461763",3602112056,978781
Canadice,1829,Richmond,Ontario,"1,668",29.851,2.585,"42.718531, -77.558586",3606912100,978782
Canajoharie,1788,Canajoharie district,Montgomery,"3,660",42.632,0.501,"42.865366, -74.614882",3605712122,978783
Canandaigua,1791,,Ontario,"11,109",56.796,5.735,"42.861633, -77.314188",3606912155,978785
Candor,1811,Spencer,Tioga,"5,149",94.510,0.110,"42.230947, -76.332452",3610712221,978786
Caneadea,1808,Angelica,Allegany,"2,294",35.649,0.693,"42.393776, -78.131108",3600312243,978787
Canisteo,1796,,Steuben,"3,295",54.351,0.009,"42.237887, -77.535418",3610112265,978788
Canton,1805,Lisbon,St. Lawrence,"11,638",104.765,1.098,"44.574414, -75.210848",3608912342,978789
Cape Vincent,1849,Lyme,Jefferson,"2,765",56.353,33.499,"44.114766, -76.290981",3604512364,978790
Carlisle,1807,Cobleskill and Sharon,Schoharie,"1,768",34.124,0.128,"42.740232, -74.436545",3609512452,978791
Carlton,1822,Gaines and Ridgeway,Orleans,"2,835",43.607,0.801,"43.339906, -78.208493",3607312496,978792
Carmel,1795,Frederick,Putnam,"33,576",35.907,4.786,"41.387098, -73.722738",3607912529,978793
Caroga,1842,"Bleecker, Johnstown and Stratford",Fulton,"1,264",50.627,3.651,"43.124008, -74.525070",3603512573,978794
Caroline,1811,Spencer,Tompkins,"3,334",54.763,0.130,"42.357575, -76.334979",3610912606,978795
Carroll,1825,Ellicott,Chautauqua,"3,456",33.320,0.023,"42.039848, -79.098719",3601312639,978796
Carrollton,1842,Great Valley,Cattaraugus,"1,207",42.299,0.041,"42.056363, -78.637943",3600912661,978797
Castile,1821,Perry,Wyoming,"2,711",36.980,1.415,"42.664387, -78.021835",3612112782,978798
Catharine,1798,Newtown,Schuyler,"1,651",32.295,0.605,"42.337939, -76.733699",3609712914,978799
Catlin,1823,Catharine,Chemung,"2,541",37.989,0.027,"42.231245, -76.895550",3601512947,978800
Cato,1802,Aurelius,Cayuga,"2,445",33.643,2.544,"43.120219, -76.536757",3601112969,978801
Caton,1839,Painted Post,Steuben,"2,049",37.565,0.434,"42.035747, -77.023787",3610112991,978802
Catskill,1788,Great Imboght District,Greene,"11,298",60.439,3.726,"42.208688, -73.938888",3603913013,978803
Cayuta,1824,Spencer,Schuyler,508,20.319,0.000,"42.271993, -76.684886",3609713112,978805
Cazenovia,1793,Paris and Whitestown,Madison,"6,740",49.870,1.844,"42.915928, -75.861962",3605313156,978806
Centerville,1819,Pike,Allegany,929,35.435,0.047,"42.474965, -78.267693",3600313475,978807
Champion,1800,Mexico,Jefferson,"4,562",44.184,0.889,"43.973154, -75.706123",3604513717,978808
Champlain,1788,,Clinton,"5,745",51.231,7.585,"44.966280, -73.436895",3601913750,978809
Charleston,1793,Mohawk,Montgomery,"1,355",41.890,0.973,"42.824767, -74.355772",3605713816,978810
Charlotte,1829,Gerry,Chautauqua,"1,527",36.432,0.000,"42.304888, -79.237368",3601313860,978811
Charlton,1792,Ballston,Saratoga,"4,328",32.774,0.188,"42.957874, -73.991978",3609113926,978812
Chateaugay,1799,Champlain and Plattsburgh,Franklin,"1,743",49.789,0.012,"44.930509, -74.076284",3603313992,978813
Chatham,1795,Canaan and Kinderhook,Columbia,"4,104",53.227,0.316,"42.425582, -73.582076",3602114014,978814
Chautauqua,1805,Batavia,Chautauqua,"4,009",67.099,0.094,"42.241757, -79.506691",3601314069,978815
Chazy,1804,Champlain,Clinton,"4,096",54.153,7.163,"44.856518, -73.460741",3601914113,978816
Cheektowaga,1839,Amherst,Erie,"89,877",29.423,0.063,"42.910021, -78.741821",3602915011,978817
Chemung,1788,,Chemung,"2,358",49.479,0.562,"42.055631, -76.605721",3601515077,978818
Chenango,1791,,Broome,"10,959",33.834,0.434,"42.215645, -75.902254",3600715110,978819
Cherry Creek,1829,Ellington,Chautauqua,"1,037",36.632,0.013,"42.302111, -79.122244",3601315198,978820
Cherry Valley,1791,Canajoharie,Otsego,"1,229",40.375,0.007,"42.808922, -74.722042",3607715253,978821
Chester,1845,"Blooming Grove, Goshen, Monroe and Warwick",Orange,"12,646",25.049,0.151,"41.330239, -74.276925",3607115308,978822
Chester,1799,Thurman,Warren,"3,086",84.190,2.860,"43.689036, -73.873783",3611315319,978823
Chesterfield,1802,Willsboro,Essex,"2,476",79.036,26.336,"44.453432, -73.448719",3603115330,978824
Chili,1822,Riga,Monroe,"29,123",39.499,0.369,"43.085609, -77.745242",3605515462,978825
Cicero,1807,Lysander,Onondaga,"31,435",48.274,0.191,"43.172142, -76.056249",3606715704,978826
Cincinnatus,1804,Solon,Cortland,902,25.356,0.129,"42.530670, -75.913769",3602315748,978827
Clare,1880,Pierrepont,St. Lawrence,100,96.557,0.698,"44.356596, -75.013141",3608915792,978828
Clarence,1808,Willink,Erie,"32,950",53.503,0.132,"43.024707, -78.645674",3602915825,978829
Clarendon,1820,Sweden,Orleans,"3,315",35.219,0.000,"43.174402, -78.056338",3607315880,978830
Clarkson,1819,Murray,Monroe,"6,904",33.183,0.005,"43.245062, -77.932451",3605515957,978831
Clarkstown,1791,Haverstraw,Rockland,"86,855",38.475,8.593,"41.134184, -73.965733",3608715968,978832
Clarksville,1835,Cuba,Allegany,976,36.276,0.020,"42.140145, -78.247654",3600315990,978833
Claverack,1788,Claverack District,Columbia,"6,058",47.559,0.390,"42.218852, -73.689931",3602116045,978834
Clay,1827,Cicero,Onondaga,"60,527",47.958,0.901,"43.178698, -76.192114",3606716067,978835
Clayton,1833,Lyme and Orleans,Jefferson,"4,770",82.360,21.671,"44.204326, -76.079717",3604516100,978836
Clermont,1788,Manor of Livingston District,Columbia,"2,058",17.996,1.197,"42.085945, -73.854682",3602116177,978837
Clifton,1868,Pierrepont,St. Lawrence,675,134.361,15.985,"44.201398, -74.885750",3608916287,978838
Clifton Park,1828,Halfmoon,Saratoga,"38,029",48.202,2.004,"42.858993, -73.822974",3609116353,978839
Clinton,1845,Ellenburg,Clinton,652,67.070,0.030,"44.937659, -73.920213",3601916397,978840
Clinton,1788,Clinton Precinct and Rhinebeck Precinct,Dutchess,"4,037",38.143,0.642,"41.864288, -73.819584",3602716408,978841
Clymer,1821,Chautauqua,Chautauqua,"1,753",36.070,0.093,"42.049004, -79.582437",3601316595,978842
Cobleskill,1797,Schoharie,Schoharie,"6,086",30.599,0.179,"42.687506, -74.442157",3609516639,978843
Cochecton,1828,Bethel,Sullivan,"1,448",36.241,0.790,"41.680039, -74.994190",3610516661,978844
Coeymans,1791,Watervliet,Albany,"7,256",50.129,3.038,"42.491282, -73.875102",3600116694,978845
Cohocton,1812,Bath and Dansville,Steuben,"2,269",56.083,0.007,"42.519967, -77.481566",3610116738,978846
Colchester,1792,Middletown,Delaware,"1,782",136.778,5.398,"42.039868, -74.953334",3602516793,978848
Colden,1827,Holland,Erie,"3,121",35.633,0.089,"42.648107, -78.646394",3602916870,978849
Coldspring,1837,Napoli,Cattaraugus,658,51.464,0.554,"42.055681, -78.844478",3600916903,978850
Colesville,1821,Windsor,Broome,"4,868",78.347,0.824,"42.179510, -75.650430",3600717046,978851
Collins,1821,Concord,Erie,"5,894",47.966,0.174,"42.491800, -78.868516",3602917200,978852
Colonie,1895,Watervliet,Albany,"85,590",55.943,1.900,"42.743332, -73.785600",3600117343,978853
Colton,1843,Parishville,St. Lawrence,"1,530",241.702,13.252,"44.368068, -74.814597",3608917409,978854
Columbia,1812,Warren,Herkimer,"1,569",35.073,0.030,"42.929047, -75.046258",3604317431,978855
Columbus,1805,Brookfield,Chenango,898,37.368,0.124,"42.691555, -75.369681",3601717486,978856
Concord,1812,Willink,Erie,"8,316",69.934,0.160,"42.545428, -78.702888",3602917585,978857
Conesus,1819,Groveland and Livonia,Livingston,"2,320",32.891,2.980,"42.703498, -77.641047",3605117618,978858
Conesville,1836,Broome and Durham,Schoharie,687,39.466,0.404,"42.398075, -74.338293",3609517651,978859
Conewango,1823,Little Valley,Cattaraugus,"1,785",36.114,0.022,"42.225426, -79.006508",3600917684,978860
Conklin,1824,Chenango,Broome,"5,008",24.385,0.504,"42.040720, -75.835038",3600717772,978861
Conquest,1821,Cato,Cayuga,"1,791",35.222,1.096,"43.117487, -76.656916",3601117849,978862
Constable,1807,Malone,Franklin,"1,486",32.806,0.012,"44.967307, -74.280786",3603317871,978863
Constantia,1808,Mexico,Oswego,"4,778",56.765,42.915,"43.258840, -75.963734",3607517904,978864
Copake,1824,Taghkanic,Columbia,"3,346",40.762,1.280,"42.129680, -73.549044",3602118102,978865
Corinth,1818,Edinburgh,Saratoga,"6,500",56.763,1.372,"43.228513, -73.922216",3609118223,978866
Corning,1796,,Steuben,"5,983",36.850,0.503,"42.149331, -77.014205",3610118267,978868
Cornwall,1788,Cornwall Precinct,Orange,"12,884",26.653,1.479,"41.414179, -74.061304",3607118300,978869
Cortlandt,1788,,Westchester,"42,545",39.255,10.761,"41.261089, -73.902332",3611918410,978871
Cortlandville,1829,Homer,Cortland,"8,409",49.720,0.180,"42.603488, -76.117640",3602318421,978872
Coventry,1806,Greene,Chenango,"1,516",48.697,0.167,"42.291156, -75.629129",3601718619,978873
Covert,1817,Ovid,Seneca,"2,163",31.385,6.195,"42.584405, -76.696609",3609918663,978874
Covington,1817,Le Roy and Perry,Wyoming,"1,253",26.138,0.000,"42.832671, -78.014813",3612118696,978875
Coxsackie,1788,Coxsackie District,Greene,"8,382",36.865,1.548,"42.345680, -73.863305",3603918729,978876
Crawford,1823,Montgomery,Orange,"9,130",40.031,0.084,"41.571349, -74.315687",3607118916,978877
Croghan,1841,Diana and Watson,Lewis,"3,197",179.182,2.849,"43.969084, -75.355598",3604919081,978878
Crown Point,1788,Crown Point township,Essex,"2,042",76.121,5.724,"43.963848, -73.583301",3603119246,978879
Cuba,1822,Friendship,Allegany,"3,126",35.129,0.763,"42.208385, -78.243639",3600319367,978880
Cuyler,1858,Truxton,Cortland,908,43.477,0.032,"42.726333, -75.936250",3602319499,978881
Danby,1811,Spencer,Tompkins,"3,421",53.553,0.222,"42.332395, -76.472452",3610919620,978882
Dannemora,1854,Beekmantown,Clinton,"4,037",59.080,6.759,"44.747379, -73.812971",3601919653,978883
Dansville,1796,,Steuben,"1,835",48.368,0.068,"42.464632, -77.661656",3610119675,978884
Danube,1817,Minden,Herkimer,953,29.354,0.259,"42.981082, -74.798257",3604319686,978885
Darien,1832,Pembroke,Genesee,"3,010",47.371,0.219,"42.908718, -78.382071",3603719719,978886
Davenport,1817,Kortright and Meredith,Delaware,"2,955",51.563,0.350,"42.454193, -74.902857",3602519763,978887
Day,1819,Edinburg and Hadley,Saratoga,819,64.112,5.420,"43.321068, -74.027621",3609119807,978888
Dayton,1835,Perrysburg,Cattaraugus,"1,690",35.527,0.618,"42.376833, -78.995439",3600919840,978889
De Kalb,1806,Oswegatchie,St. Lawrence,"2,375",82.523,0.684,"44.475880, -75.365448",3608920038,978893
De Peyster,1825,DeKalb and Oswegatchie,St. Lawrence,"1,023",42.927,2.169,"44.535363, -75.458682",3608920335,978898
DeRuyter,1798,Cazenovia,Madison,"1,276",30.440,0.833,"42.769678, -75.847084",3605320401,978900
DeWitt (De Witt),1835,Manlius,Onondaga,"26,074",33.774,0.092,"43.053891, -76.071795",3606720478,978901
Decatur,1808,Worcester,Otsego,374,20.562,0.197,"42.657096, -74.705713",3607719895,978890
Deerfield,1798,Schuyler,Oneida,"3,983",32.941,0.107,"43.185088, -75.151134",3606519928,978891
Deerpark,1798,Mamakating,Orange,"7,509",66.502,1.452,"41.442383, -74.656826",3607119961,978892
Delaware,1869,Cochecton,Sullivan,"2,203",34.941,0.703,"41.754935, -75.000363",3610520104,978894
Delhi,1798,"Kortright, Middletown and Walton",Delaware,"4,795",64.198,0.401,"42.272354, -74.907546",3602520137,978895
Denmark,1807,Harrisburg,Lewis,"2,626",50.602,0.446,"43.898222, -75.631239",3604920214,978896
Denning,1849,Shandaken,Ulster,493,105.666,0.099,"41.955487, -74.482306",3611120247,978897
Deposit,1880,Tompkins,Delaware,"1,427",43.015,1.564,"42.095846, -75.369813",3602520357,978899
Diana,1830,Watson,Lewis,"1,610",137.094,3.738,"44.108159, -75.372574",3604920555,978902
