number,county_name
0,Albany County
1, Allegany County
2, Bronx County
3, Broome County
4, Cattaraugus County
5, Cayuga County
6, Chautauqua County
7, Chemung County
8, Chenango County
9, Clinton County
10, Columbia County
11, Cortland County
12, Delaware County
13, Dutchess County
14, Erie County
15, Essex County
16, Franklin County
17, Fulton County
18, Genesee County
19, Greene County
20, Hamilton County
21, Herkimer County
22, Jefferson County
23, Kings County
24, Lewis County
25, Livingston County
26, Madison County
27, Monroe County
28, Montgomery County
29, Nassau County
30, New York County
31, Niagara County
32, Oneida County
33, Onondaga County
34, Ontario County
35, Orange County
36, Orleans County
37, Oswego County
38, Otsego County
39, Putnam County
40, Queens County
41, Rensselaer County
42, Richmond County
43, Rockland County
44, Saratoga County
45, Schenectady County
46, Schoharie County
47, Schuyler County
48, Seneca County
49, St. Lawrence County
50, Steuben County
51, Suffolk County
52, Sullivan County
53, Tioga County
54, Tompkins County
55, Ulster County
56, Warren County
57, Washington County
58, Wayne County
59, Westchester County
60, Wyoming County
61, Yates County